,airline,date_of_journey,source,destination,dep_time,arrival_time,total_stops,additional_info,price,duration_min
0,Indigo,2019-03-24,Banglore,New Delhi,22:20:00,01:10:00,0,No Info,3897,170
1,Air India,2019-05-01,Kolkata,Banglore,05:50:00,13:15:00,2,No Info,7662,445
2,Jet Airways,2019-06-09,Delhi,Cochin,09:25:00,04:25:00,2,No Info,13882,1140
3,Indigo,2019-05-12,Kolkata,Banglore,18:05:00,23:30:00,1,No Info,6218,325
4,Indigo,2019-03-01,Banglore,New Delhi,16:50:00,21:35:00,1,No Info,13302,285
5,Spicejet,2019-06-24,Kolkata,Banglore,09:00:00,11:25:00,0,No Info,3873,145
6,Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,10:25:00,1,In-flight meal not included,11087,930
7,Jet Airways,2019-03-01,Banglore,New Delhi,08:00:00,05:05:00,1,No Info,22270,1265
8,Jet Airways,2019-03-12,Banglore,New Delhi,08:55:00,10:25:00,1,In-flight meal not included,11087,1530
9,Multiple Carriers,2019-05-27,Delhi,Cochin,11:25:00,19:15:00,1,No Info,8625,470
10,Air India,2019-06-01,Delhi,Cochin,09:45:00,23:00:00,1,No Info,8907,795
11,Indigo,2019-04-18,Kolkata,Banglore,20:20:00,22:55:00,0,No Info,4174,155
12,Air India,2019-06-24,Chennai,Kolkata,11:40:00,13:55:00,0,No Info,4667,135
13,Jet Airways,2019-05-09,Kolkata,Banglore,21:10:00,09:20:00,1,In-flight meal not included,9663,730
14,Indigo,2019-04-24,Kolkata,Banglore,17:15:00,19:50:00,0,No Info,4804,155
15,Air India,2019-03-03,Delhi,Cochin,16:40:00,19:15:00,2,No Info,14011,1595
16,Spicejet,2019-04-15,Delhi,Cochin,08:45:00,13:15:00,1,No Info,5830,270
17,Jet Airways,2019-06-12,Delhi,Cochin,14:00:00,12:35:00,1,In-flight meal not included,10262,1355
18,Air India,2019-06-12,Delhi,Cochin,20:15:00,19:15:00,2,No Info,13381,1380
19,Jet Airways,2019-05-27,Delhi,Cochin,16:00:00,12:35:00,1,In-flight meal not included,12898,1235
20,Goair,2019-03-06,Delhi,Cochin,14:10:00,19:20:00,1,No Info,19495,310
21,Air India,2019-03-21,Banglore,New Delhi,22:00:00,13:20:00,1,No Info,6955,920
22,Indigo,2019-04-03,Banglore,New Delhi,04:00:00,06:50:00,0,No Info,3943,170
23,Indigo,2019-05-01,Banglore,New Delhi,18:55:00,21:50:00,0,No Info,4823,175
24,Jet Airways,2019-05-06,Kolkata,Banglore,18:55:00,08:15:00,1,In-flight meal not included,7757,800
25,Jet Airways,2019-06-09,Delhi,Cochin,21:25:00,12:35:00,2,No Info,13292,910
26,Indigo,2019-06-01,Delhi,Cochin,21:50:00,03:35:00,1,No Info,8238,345
27,Goair,2019-05-15,Delhi,Cochin,07:00:00,12:55:00,1,No Info,7682,355
28,Vistara,2019-06-18,Banglore,New Delhi,09:45:00,12:35:00,0,No Info,4668,170
29,Vistara,2019-06-15,Chennai,Kolkata,07:05:00,09:20:00,0,No Info,3687,135
30,Vistara,2019-06-18,Chennai,Kolkata,07:05:00,09:20:00,0,No Info,3687,135
31,Air India,2019-05-01,Kolkata,Banglore,09:50:00,23:15:00,2,No Info,13227,805
32,Indigo,2019-04-06,Banglore,New Delhi,04:00:00,06:50:00,0,No Info,4423,170
33,Jet Airways,2019-06-15,Delhi,Cochin,14:35:00,12:35:00,2,In-flight meal not included,10919,1320
34,Jet Airways,2019-05-18,Delhi,Cochin,07:05:00,12:35:00,1,In-flight meal not included,12373,330
35,Indigo,2019-06-27,Delhi,Cochin,10:35:00,21:00:00,1,No Info,5894,625
36,Spicejet,2019-05-21,Kolkata,Banglore,15:05:00,20:20:00,1,No Info,4649,315
37,Air India,2019-05-18,Kolkata,Banglore,14:15:00,16:45:00,0,No Info,6245,150
